-2 -64.5816 -64.5816 2 1 0
-1.97894 -64.5576 -64.5576 1 1 0
-1.95797 -64.5335 -64.5335 1 1 0
-1.91632 -64.4852 -64.4852 1 1 0
-1.86479 -64.4246 -64.4246 1 1 0
-1.81385 -64.3638 -64.3638 1 1 0
-1.7635 -64.3027 -64.3027 1 1 0
-1.71375 -64.2413 -64.2413 1 1 0
-1.6646 -64.1797 -64.1797 1 1 0
-1.61604 -64.1179 -64.1179 1 1 0
-1.56809 -64.0559 -64.0559 1 1 0
-1.52073 -63.9936 -63.9936 1 1 0
-1.47398 -63.9311 -63.9311 1 1 0
-1.42782 -63.8684 -63.8684 1 1 0
-1.38227 -63.8054 -63.8054 1 1 0
-1.33731 -63.7423 -63.7423 1 1 0
-1.29296 -63.6789 -63.6789 1 1 0
-1.2492 -63.6153 -63.6153 1 1 0
-1.20604 -63.5515 -63.5515 1 1 0
-1.16349 -63.4875 -63.4875 1 1 0
-1.12152 -63.4233 -63.4233 1 1 0
-1.08015 -63.359 -63.359 1 1 0
-1.03938 -63.2944 -63.2944 1 1 0
-0.999198 -63.2296 -63.2296 1 1 0
-0.959605 -63.1647 -63.1647 1 1 0
-0.9206 -63.0996 -63.0996 1 1 0
-0.88218 -63.0343 -63.0343 1 1 0
-0.844343 -62.9689 -62.9689 1 1 0
-0.807086 -62.9032 -62.9032 1 1 0
-0.770406 -62.8375 -62.8375 1 1 0
-0.7343 -62.7715 -62.7715 1 1 0
-0.698766 -62.7054 -62.7054 1 1 0
-0.663799 -62.6392 -62.6392 1 1 0
-0.629396 -62.5728 -62.5728 1 1 0
-0.595554 -62.5062 -62.5062 1 1 0
-0.56227 -62.4396 -62.4396 1 1 0
-0.529538 -62.3728 -62.3728 1 1 0
-0.497355 -62.3058 -62.3058 1 1 0
-0.465717 -62.2387 -62.2387 1 1 0
-0.434619 -62.1715 -62.1715 1 1 0
-0.404058 -62.1042 -62.1042 1 1 0
-0.374028 -62.0367 -62.0367 1 1 0
